# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
0.00000000,0.00000000,0.00000000,1.53975746,0.02712009,6.00000000,6.00000000
0.10008896,0.00310656,0.10005411,1.54247188,0.04037338,6.00000000,6.00000000
0.20017791,0.00566972,0.20011690,1.54783932,0.05301051,6.00000000,6.00000000
0.30026687,0.00770183,0.30018733,1.55308341,0.05177728,6.00000000,6.00000000
0.40035582,0.00921528,0.40026438,1.55820399,0.05054280,6.00000000,6.00000000
0.50044478,0.01022244,0.50034702,1.56320097,0.04933075,6.00000000,6.00000000
0.60053373,0.01073567,0.60043422,1.56807891,0.04820055,6.00000000,6.00000000
0.70062269,0.01076641,0.70052437,1.57284965,0.04716935,6.00000000,6.00000000
0.80071164,0.01032464,0.80061493,1.57752117,0.04618209,6.00000000,6.00000000
0.90080060,0.00942022,0.90070330,1.58209429,0.04519974,6.00000000,6.00000000
1.00088955,0.00806301,1.00078687,1.58656916,0.04421913,6.00000000,6.00000000
1.10097851,0.00626287,1.10086302,1.59094598,0.04323885,6.00000000,6.00000000
1.20106746,0.00402966,1.20092924,1.59522463,0.04225624,6.00000000,6.00000000
1.30115642,0.00137328,1.30098412,1.59940475,0.04127083,6.00000000,6.00000000
1.40124537,-0.00169638,1.40102700,1.60348614,0.04028433,6.00000000,6.00000000
1.50133433,-0.00516940,1.50105720,1.60746878,0.03929770,6.00000000,6.00000000
1.60142328,-0.00903589,1.60107407,1.61135267,0.03836756,6.00000000,6.00000000
1.70151224,-0.01328592,1.70107696,1.61514912,0.03778673,6.00000000,6.00000000
1.80160119,-0.01791185,1.80106478,1.61891674,0.03779737,6.00000000,6.00000000
1.90169015,-0.02291541,1.90103471,1.62271531,0.03816952,6.00000000,6.00000000
2.00177910,-0.02830077,2.00098348,1.62655743,0.03860573,6.00000000,6.00000000
2.10186806,-0.03407212,2.10090779,1.63044333,0.03903866,6.00000000,6.00000000
2.20195701,-0.04023364,2.20080439,1.63437211,0.03906850,6.00000000,6.00000000
2.30204597,-0.04678930,2.30067004,1.63826398,0.03766177,6.00000000,6.00000000
2.40213492,-0.05372747,2.40050528,1.64191116,0.03451187,6.00000000,6.00000000
2.50222388,-0.06101113,2.50031679,1.64517249,0.03059514,6.00000000,6.00000000
2.60231283,-0.06860088,2.60011183,1.64803564,0.02661527,6.00000000,6.00000000
2.70240179,-0.07645734,2.69989766,1.65050028,0.02282398,6.00000000,6.00000000
2.80249074,-0.08454114,2.79968151,1.65260449,0.02183841,6.00000000,6.00000000
2.90257970,-0.09282042,2.89946894,1.65487185,0.02756317,6.00000000,6.00000000
3.00266865,-0.10135909,2.99924386,1.65812203,0.03909191,6.00000000,6.00000000
3.10275761,-0.11028688,3.09897529,1.66269719,0.05237860,6.00000000,6.00000000
3.20284656,-0.11973479,3.19863197,1.66860707,0.06573519,6.00000000,6.00000000
3.30293552,-0.12983387,3.29818264,1.67585592,0.07668567,6.00000000,6.00000000
3.40302447,-0.14071512,3.39759602,1.68395785,0.07207841,6.00000000,6.00000000
3.50311343,-0.15241329,3.49686286,1.69028443,0.04071423,6.00000000,6.00000000
3.60320238,-0.16454388,3.59606967,1.69210793,-0.00718211,6.00000000,6.00000000
3.70329134,-0.17660834,3.69532900,1.68884673,-0.05790351,6.00000000,6.00000000
3.80338029,-0.18810814,3.79475344,1.68051693,-0.10809899,6.00000000,6.00000000
3.90346925,-0.19854472,3.89445554,1.66720770,-0.13657782,6.00000000,6.00000000
4.00355820,-0.20743026,3.99454543,1.65317707,-0.08814089,6.00000000,6.00000000
4.10364716,-0.21509873,4.09494585,1.64956384,0.05418501,6.00000000,6.00000000
4.20373611,-0.22327305,4.19526282,1.66402371,0.23907924,6.00000000,6.00000000
4.30382507,-0.23381019,4.29507182,1.69742222,0.42984572,6.00000000,6.00000000
4.40391402,-0.24856711,4.39394831,1.75006933,0.62001845,6.00000000,6.00000000
4.50400298,-0.26940078,4.49146775,1.82153622,0.77047867,6.00000000,6.00000000
4.60409193,-0.29806458,4.58719950,1.90430214,0.82704572,6.00000000,6.00000000
4.70418089,-0.33493600,4.68063167,1.98709250,0.80735816,6.00000000,6.00000000
4.80426985,-0.37941575,4.77119473,2.06591741,0.77175468,6.00000000,6.00000000
4.90435880,-0.43088376,4.85831788,2.14158074,0.74495342,6.00000000,6.00000000
5.00444776,-0.48871994,4.94143037,2.21504062,0.72560039,6.00000000,6.00000000
5.10453671,-0.55230422,5.01996142,2.28682991,0.70015286,6.00000000,6.00000000
5.20462567,-0.62101812,5.09348421,2.35519576,0.65319478,6.00000000,6.00000000
5.30471462,-0.69425008,5.16219110,2.41758508,0.59008057,6.00000000,6.00000000
5.40480358,-0.77139038,5.22644086,2.47331686,0.52379715,6.00000000,6.00000000
5.50489253,-0.85182931,5.28659226,2.52243770,0.45859800,6.00000000,6.00000000
5.60498149,-0.93495715,5.34300410,2.56511805,0.39685032,6.00000000,6.00000000
5.70507044,-1.02016680,5.39603544,2.60187837,0.34197257,6.00000000,6.00000000
5.80515940,-1.10699414,5.44606137,2.63357340,0.29359831,6.00000000,6.00000000
5.90524835,-1.19518896,5.49348097,2.66065026,0.24746404,6.00000000,6.00000000
